,Date,open,high,low,close,volume,Dividends,Stock Splits
0,2017-01-03 00:00:00-05:00,18.332655496967135,18.397549789725165,18.008184033176967,18.2758731842041,99298100,0.0,0.0
1,2017-01-04 00:00:00-05:00,18.43000084089834,18.62468376859206,18.332660150652668,18.616573333740234,76875100,0.0,0.0
2,2017-01-05 00:00:00-05:00,18.511115213307836,18.600345449897794,18.129861420317916,18.397550582885742,86826400,0.0,0.0
3,2017-01-06 00:00:00-05:00,18.47866883913097,18.53545115434202,18.300208365951054,18.397550582885742,66281500,0.0,0.0
4,2017-01-09 00:00:00-05:00,18.25965452417631,18.421889529559976,18.17042426553371,18.29210090637207,75901500,0.0,0.0
5,2017-01-10 00:00:00-05:00,18.32454819648525,18.770696379728687,18.28398983335489,18.608461380004883,100977700,0.0,0.0
6,2017-01-11 00:00:00-05:00,18.608456504339575,18.713909149169922,18.429996040039335,18.713909149169922,92385600,0.0,0.0
7,2017-01-12 00:00:00-05:00,18.665241849314988,18.754472095962573,18.340770334963153,18.592235565185547,120474200,0.0,0.0
8,2017-01-13 00:00:00-05:00,18.827476219746472,18.989712745240038,18.494892734966616,18.665241241455078,161930900,0.0,0.0
9,2017-01-17 00:00:00-05:00,18.397549014695738,18.486779243679795,17.85405875554196,17.886505126953125,152495900,0.0,0.0
10,2017-01-18 00:00:00-05:00,18.089303529235906,18.37321668405038,17.927068545914935,18.356992721557617,124366000,0.0,0.0
11,2017-01-19 00:00:00-05:00,18.438108142498194,18.503002435256228,18.17853097146606,18.2758731842041,75990800,0.0,0.0
12,2017-01-20 00:00:00-05:00,18.381332455828645,18.60035135303957,18.26776778936485,18.365108489990234,102564900,0.0,0.0
13,2017-01-23 00:00:00-05:00,18.348884754128605,18.46244941243985,18.186648201796178,18.300212860107422,61385600,0.0,0.0
14,2017-01-24 00:00:00-05:00,18.34077213270687,18.738249970148512,18.23531791320462,18.616573333740234,98508700,0.0,0.0
15,2017-01-25 00:00:00-05:00,18.916700240204996,18.997818476265216,18.73824135863385,18.957260131835938,99753300,0.0,0.0
16,2017-01-26 00:00:00-05:00,18.98971168105976,19.10327631421981,18.88425902844001,19.014047622680664,84146400,0.0,0.0
17,2017-01-27 00:00:00-05:00,19.00593239232005,19.02215635062652,18.884255799425155,18.94915008544922,54590200,0.0,0.0
18,2017-01-30 00:00:00-05:00,18.819368243488157,18.819368243488157,18.421888858844138,18.616573333740234,91561200,0.0,0.0
19,2017-01-31 00:00:00-05:00,18.470562720737366,18.681469635029085,18.251543823526436,18.365108489990234,91044300,0.0,0.0
20,2017-02-01 00:00:00-05:00,18.63279783516797,18.83559276760333,18.511121185147264,18.567903518676758,103630900,0.0,0.0
21,2017-02-02 00:00:00-05:00,18.446226177840263,18.486786091129886,18.259655218315473,18.430002212524414,88679100,0.0,0.0
22,2017-02-03 00:00:00-05:00,18.778805944238727,18.941042470278813,18.61657096540082,18.892372131347656,116035100,0.0,0.0
23,2017-02-06 00:00:00-05:00,18.778810949591854,18.96538192122554,18.713916631319155,18.75447654724121,92228400,0.0,0.0
24,2017-02-07 00:00:00-05:00,18.884260757664205,18.89237273894732,18.543565279784623,18.576011657714844,87982900,0.0,0.0
25,2017-02-08 00:00:00-05:00,18.438112788880552,18.438112788880552,18.210983480592116,18.389442443847656,102264500,0.0,0.0
26,2017-02-09 00:00:00-05:00,18.46245134141277,18.778810949591854,18.365109090402424,18.75447654724121,102634200,0.0,0.0
27,2017-02-10 00:00:00-05:00,18.811253251369664,18.85181160794839,18.62468078838198,18.722023010253906,90548300,0.0,0.0
28,2017-02-13 00:00:00-05:00,18.79502889586471,19.095165988742885,18.79502889586471,18.981599807739258,105342500,0.0,0.0
29,2017-02-14 00:00:00-05:00,18.98160084714536,19.60620946166068,18.924818527135272,19.516979217529297,139711400,0.0,0.0
30,2017-02-15 00:00:00-05:00,19.744115943138034,20.09292349563399,19.557544965310825,19.938798904418945,151233300,0.0,0.0
31,2017-02-16 00:00:00-05:00,19.90635251780678,19.97124683823375,19.71166800932323,19.938798904418945,98144500,0.0,0.0
32,2017-02-17 00:00:00-05:00,19.695438568085557,19.93879179612926,19.630544270793763,19.890121459960938,85789200,0.0,0.0
33,2017-02-21 00:00:00-05:00,19.946902012397622,20.117248947520697,19.938790032553385,20.10102653503418,78571500,0.0,0.0
34,2017-02-22 00:00:00-05:00,19.963129733165516,20.23893091102299,19.906347410759963,20.109142303466797,81531900,0.0,0.0
35,2017-02-23 00:00:00-05:00,20.109147462541394,20.190264202673124,19.882016567445675,19.938798904418945,85846000,0.0,0.0
36,2017-02-24 00:00:00-05:00,19.5656537221597,19.752224669219178,19.484535448202674,19.654882431030273,97074400,0.0,0.0
37,2017-02-27 00:00:00-05:00,19.63054566258455,20.003687511667312,19.622433681447678,19.930681228637695,69129100,0.0,0.0
38,2017-02-28 00:00:00-05:00,19.85767239751416,20.036132865221212,19.809002064140422,20.019908905029297,90242000,0.0,0.0
39,2017-03-01 00:00:00-05:00,20.642358594346767,20.837634951228903,20.520309513366715,20.748132705688477,143947500,0.075,0.0
40,2017-03-02 00:00:00-05:00,20.89458645343603,20.992223837656812,20.504033812716425,20.5284423828125,99824600,0.0,0.0
41,2017-03-03 00:00:00-05:00,20.5853998478376,20.870178425573524,20.5853998478376,20.699312210083008,92456100,0.0,0.0
42,2017-03-06 00:00:00-05:00,20.60980990179166,20.6260833180451,20.406396854378826,20.54471778869629,75660400,0.0,0.0
43,2017-03-07 00:00:00-05:00,20.520305591582183,20.634217941931713,20.42266820776057,20.512168884277344,64053700,0.0,0.0
44,2017-03-08 00:00:00-05:00,20.82949640715255,20.967817341746894,20.520307705391836,20.552854537963867,105314600,0.0,0.0
45,2017-03-09 00:00:00-05:00,20.626079559326172,20.77253717508118,20.528440631516794,20.626079559326172,78984600,0.0,0.0
46,2017-03-10 00:00:00-05:00,20.84576967179631,20.84576967179631,20.414533454864294,20.593536376953125,86998800,0.0,0.0
47,2017-03-13 00:00:00-04:00,20.585399627685547,20.674901864510094,20.44707869437415,20.585399627685547,56886200,0.0,0.0
48,2017-03-14 00:00:00-04:00,20.495899024756397,20.61794654242087,20.381986663273622,20.601673126220703,63182700,0.0,0.0
