Date,open,high,low,close,volume
2018-01-03,147.35,149.58,147.35,149.0,1701590
2018-01-04,148.5,153.02,148.25,153.0,3517510
2018-01-05,148.5,149.65,146.1,146.46,6732440
2018-01-09,147.17,149.26,145.03,149.25,4601800
2018-01-10,149.24,149.9,147.34,149.9,2655660
2018-01-11,149.89,151.63,148.62,150.4,2261420
2018-01-12,149.85,153.91,149.11,153.59,3002650
2018-01-15,152.82,154.8,152.21,152.5,2476160
2018-01-16,152.33,152.8,148.66,150.88,3259600
2018-01-17,150.1,151.94,148.12,151.7,3121580
2018-01-18,151.51,153.0,150.31,152.8,3928360
2018-01-19,152.49,155.81,151.51,154.95,3725850
2018-01-22,155.0,157.44,153.92,157.14,4398910
2018-01-23,156.7,157.02,151.0,153.7,3159800
2018-01-24,153.0,153.45,150.05,150.7,2948980
2018-01-25,150.11,155.79,150.11,154.0,5125810
2018-01-26,153.63,153.99,150.6,153.93,2802020
2018-01-29,153.3,154.9,152.0,153.19,1945230
2018-01-30,152.29,152.35,149.6,150.9,2420030
2018-01-31,150.31,150.76,147.0,147.0,3330110
2018-02-01,147.48,150.63,145.74,150.4,3091100
2018-02-02,150.1,150.8,145.38,146.14,3892130
2018-02-05,145.89,147.1,142.31,147.1,4092350
2018-02-06,144.06,145.99,139.41,144.78,6615330
2018-02-07,144.8,148.0,144.8,146.05,4904500
2018-02-08,146.7,146.7,141.24,143.0,3905570
2018-02-09,140.86,142.5,137.77,137.95,6351620
2018-02-12,139.05,144.98,138.96,143.7,5452690
2018-02-13,143.72,148.84,143.14,148.79,4961030
2018-02-14,148.4,149.78,145.33,147.68,4947550
2018-02-15,148.52,149.2,146.84,148.05,3470940
2018-02-16,148.79,150.0,147.65,149.24,2934150
2018-02-19,150.0,153.59,149.28,152.89,4323880
2018-02-20,152.5,156.0,151.5,153.0,6512170
2018-02-21,152.7,152.92,147.89,148.3,5281240
2018-02-22,148.17,149.95,146.15,148.56,4792640
2018-02-26,149.44,150.9,147.0,148.73,4216330
2018-02-27,148.48,148.48,145.5,146.65,3593630
2018-02-28,145.9,147.5,144.29,146.1,4792280
2018-03-01,146.0,147.75,145.06,145.83,2770810
2018-03-02,145.3,145.79,141.63,144.45,3376170
2018-03-05,143.72,147.4,143.3,146.9,3119740
2018-03-06,146.65,147.27,143.78,145.36,3052380
2018-03-07,144.51,146.37,143.09,146.3,5257100
2018-03-09,145.5,146.0,144.22,145.55,3290420
2018-03-12,145.03,149.45,145.03,149.45,3799540
2018-03-13,149.06,150.99,147.8,150.99,4523290
2018-03-14,150.0,152.43,148.34,150.0,4566770
2018-03-15,149.13,150.39,147.34,148.27,4769010
2018-03-16,148.7,155.79,146.24,153.0,13313260
2018-03-19,153.5,154.44,147.81,148.2,4419500
2018-03-20,149.33,149.48,146.51,148.04,4933160
2018-03-21,148.0,149.97,147.6,148.5,3319680
2018-03-22,148.15,149.42,147.0,149.2,2559580
2018-03-23,147.0,148.54,143.61,148.54,5366980
2018-03-26,147.83,148.67,146.35,146.35,2751510
2018-03-27,146.67,148.96,146.15,146.63,3270010
2018-03-28,146.55,147.27,141.55,142.06,3316810
2018-03-29,142.88,144.98,142.31,144.22,2782620
2018-03-30,144.52,145.34,143.5,143.5,979710
2018-04-02,144.2,146.1,142.58,142.58,1416330
2018-04-03,143.2,144.45,141.6,144.25,2088120
2018-04-04,144.3,145.32,142.7,145.28,2118240
2018-04-05,145.5,149.14,145.5,148.9,2628810
2018-04-06,147.22,153.7,147.22,150.42,4600950
2018-04-09,150.0,150.72,138.63,143.31,8350540
2018-04-10,143.0,155.25,143.0,151.85,7805670
2018-04-11,152.0,154.71,149.1,150.82,4623930
2018-04-12,151.99,152.0,147.14,148.0,3826790
2018-04-13,148.72,151.7,147.01,147.11,4358480
2018-04-16,148.0,148.84,143.19,145.0,4305270
2018-04-17,146.0,148.19,144.36,148.19,4427200
2018-04-18,148.0,151.97,148.0,151.5,4078360
2018-04-19,151.79,151.86,149.01,151.0,2464200
2018-04-20,151.09,153.69,149.75,151.81,1747190
2018-04-23,152.41,153.9,150.9,153.9,3747300
2018-04-24,154.05,155.96,153.04,154.65,5046140
2018-04-25,154.1,158.93,153.14,158.15,3476840
