,Date,open,high,low,close,volume,Dividends,Stock Splits
0,2020-01-02,71.40976266924919,72.4607608758153,71.15665916677409,72.40049743652344,135480400,0.0,0.0
1,2020-01-03,71.62912236880935,72.4559349891833,71.47243889814949,71.69661712646484,146322800,0.0,0.0
2,2020-01-06,70.81920816221287,72.3065062028637,70.56851011431775,72.26793670654297,118387200,0.0,0.0
3,2020-01-07,72.27759377705218,72.53311029879856,71.708710156977,71.92807006835938,108872000,0.0,0.0
4,2020-01-08,71.63156665826679,73.38643848288913,71.63156665826679,73.08512115478516,132079200,0.0,0.0
5,2020-01-09,74.06135963491325,74.83032176731344,73.81066900497032,74.63748168945312,170108400,0.0,0.0
6,2020-01-10,74.87130260503702,75.37028567561227,74.30482477296201,74.80621337890625,140644800,0.0,0.0
7,2020-01-13,75.12201817653433,76.4309386915993,75.00389679896787,76.4044189453125,121532000,0.0,0.0
8,2020-01-14,76.34175230410106,76.5514679630278,75.24977872842311,75.37271118164062,161954400,0.0,0.0
9,2020-01-15,75.17263004032235,76.05247495120804,74.61820187883205,75.04969024658203,121923600,0.0,0.0
10,2020-01-16,75.5920773695483,76.1007048279931,75.23049658770428,75.98981475830078,108829200,0.0,0.0
11,2020-01-17,76.23807238178088,76.83347548162705,75.93193674542053,76.83106994628906,137816400,0.0,0.0
12,2020-01-21,76.459869381581,76.90099467937888,76.17301471865545,76.31041717529297,110843200,0.0,0.0
13,2020-01-22,76.79492300181599,77.13480977194556,76.48878729766383,76.58280181884766,101832400,0.0,0.0
14,2020-01-23,76.6358420591075,77.03116654175618,76.0886451198764,76.95162200927734,104472000,0.0,0.0
15,2020-01-24,77.19749582877215,77.93993845348767,76.53941616685312,76.72985076904297,146537600,0.0,0.0
16,2020-01-27,74.74115326828117,75.15335327614349,73.49249613883003,74.47358703613281,161940000,0.0,0.0
17,2020-01-28,75.35342032568062,76.75152944120848,75.25458738363722,76.58038330078125,162234000,0.0,0.0
18,2020-01-29,78.20991513135742,79.0294966511186,77.46987813568431,78.18339538574219,216229200,0.0,0.0
19,2020-01-30,77.26740800153176,78.12314628033491,76.83591952309017,78.07011413574219,126743200,0.0,0.0
20,2020-01-31,77.361404556077,77.78324876217432,74.31448794421121,74.60857391357422,199588400,0.0,0.0
21,2020-02-03,73.35266528651083,75.5679502030693,72.85127664058147,74.4036636352539,173788400,0.0,0.0
22,2020-02-04,76.00667569866678,77.05044280806926,75.60170706629567,76.8600082397461,136616400,0.0,0.0
23,2020-02-05,77.98576191455355,78.2846737790901,76.88415108585558,77.48678588867188,118826800,0.0,0.0
