,Date,open,high,low,close,volume,Dividends,Stock Splits
0,2017-01-03 00:00:00-05:00,138.5849948614662,139.56548766087627,136.88202332264265,138.86021423339844,3539700,0.0,0.0
1,2017-01-04 00:00:00-05:00,139.6342668988735,139.83208201188503,137.38945317463086,139.25582885742188,2695200,0.0,0.0
2,2017-01-05 00:00:00-05:00,139.11825395055692,139.8751302582221,138.9118295601549,139.4880828857422,2961100,0.0,0.0
3,2017-01-06 00:00:00-05:00,139.11824065066835,140.1417401623743,138.56778878602913,139.68589782714844,3081300,0.0,0.0
4,2017-01-09 00:00:00-05:00,139.33327466621694,139.70310360201378,138.28397364660367,139.29026794433594,3040800,0.0,0.0
5,2017-01-10 00:00:00-05:00,138.70537689974992,140.17610923055116,138.04311032818296,138.9720001220703,3500700,0.0,0.0
6,2017-01-11 00:00:00-05:00,138.7311567194914,140.14168993734992,138.13769834984183,139.2386016845703,3330600,0.0,0.0
7,2017-01-12 00:00:00-05:00,139.06663006250795,140.1417323258104,138.378561989233,139.64288330078125,2555900,0.0,0.0
8,2017-01-13 00:00:00-05:00,139.47088489362946,139.9697339734906,138.82582346474481,139.1612548828125,3183300,0.0,0.0
9,2017-01-17 00:00:00-05:00,139.85789718365174,140.16752714589032,135.47147490590606,138.1807403564453,5475800,0.0,0.0
10,2017-01-18 00:00:00-05:00,138.52477635223542,138.64518728253762,134.2501686407969,135.6693115234375,6591600,0.0,0.0
11,2017-01-19 00:00:00-05:00,135.66929350826365,138.08612101085228,135.23925265374453,136.49496459960938,4976900,0.0,0.0
12,2017-01-20 00:00:00-05:00,136.77021653217187,137.441079310898,135.72951174148753,136.46058654785156,3579100,0.0,0.0
13,2017-01-23 00:00:00-05:00,136.42616985704592,137.20025134531932,134.6544034626126,136.81321716308594,4062600,0.0,0.0
14,2017-01-24 00:00:00-05:00,137.06262949943755,138.73978630301622,136.83901296689575,137.98291015625,3514100,0.0,0.0
15,2017-01-25 00:00:00-05:00,138.31834794241507,139.31603275943016,137.9141084857689,138.67958068847656,3605800,0.0,0.0
16,2017-01-26 00:00:00-05:00,139.2128146094286,140.69215607836975,138.6881642847017,139.97828674316406,4202400,0.0,0.0
17,2017-01-27 00:00:00-05:00,140.62335984874335,140.88138698698836,139.8664837429061,140.18472290039062,3110400,0.0,0.0
18,2017-01-30 00:00:00-05:00,140.14171925161452,140.5889654260895,138.73978183144038,139.41064453125,2784600,0.0,0.0
19,2017-01-31 00:00:00-05:00,139.00643224540934,139.49668522701566,137.6216998637778,139.41928100585938,3037000,0.0,0.0
20,2017-02-01 00:00:00-05:00,139.97829092472983,140.96737958957624,139.35903107626444,139.9438934326172,3718500,0.0,0.0
21,2017-02-02 00:00:00-05:00,139.78046033542176,140.40831620642723,137.8366675893177,138.26670837402344,4714000,0.0,0.0
22,2017-02-03 00:00:00-05:00,138.58498341968632,139.33325037951374,137.79370974547427,139.221435546875,2762300,0.0,0.0
23,2017-02-06 00:00:00-05:00,138.911824463114,139.78911168537144,137.80232457445976,138.05174255371094,3479400,0.0,0.0
24,2017-02-07 00:00:00-05:00,138.51620075671266,139.05804346135284,137.21746861218304,138.06895446777344,2942700,0.0,0.0
25,2017-02-08 00:00:00-05:00,137.61306124189468,138.154916870152,137.10561622827822,137.8796844482422,2339700,0.0,0.0
26,2017-02-09 00:00:00-05:00,137.8797012877487,138.73118693274597,137.23463998439476,137.99151611328125,3056800,0.0,0.0
27,2017-02-10 00:00:00-05:00,137.71627726528683,138.98059841107815,137.69908508046893,138.2581329345703,1905900,0.0,0.0
28,2017-02-13 00:00:00-05:00,138.20655224399007,139.3504626600428,138.20655224399007,139.3246612548828,3275800,0.0,0.0
29,2017-02-14 00:00:00-05:00,138.86021614752374,140.6233866167151,138.68820239721902,140.30516052246094,2969400,0.0,0.0
30,2017-02-15 00:00:00-05:00,139.83206327427263,141.8188496018577,139.83206327427263,141.30279541015625,4537900,0.0,0.0
31,2017-02-16 00:00:00-05:00,141.7242462698541,141.8876638751291,139.61704895570597,140.75234985351562,3191600,0.0,0.0
32,2017-02-17 00:00:00-05:00,136.75303365491476,137.75073189292902,134.59423262807837,135.5661163330078,12033600,0.0,0.0
33,2017-02-21 00:00:00-05:00,135.56605090801463,138.3183223913511,135.4800506265373,138.10330200195312,5419000,0.0,0.0
34,2017-02-22 00:00:00-05:00,138.39572658182163,139.14399333730958,137.30341932901507,138.10330200195312,2725300,0.0,0.0
35,2017-02-23 00:00:00-05:00,138.75699665206758,139.84930419921875,138.20654483183037,139.84930419921875,2459600,0.0,0.0
36,2017-02-24 00:00:00-05:00,139.90950271006878,140.27073548573554,139.10963294762232,140.24493408203125,2715700,0.0,0.0
37,2017-02-27 00:00:00-05:00,140.33097347507012,142.3091645758574,140.02993954441223,142.2403564453125,4071800,0.0,0.0
38,2017-02-28 00:00:00-05:00,142.31776067074716,143.42726060673766,141.82750766204296,142.2403564453125,4382100,0.0,0.0
39,2017-03-01 00:00:00-05:00,143.3928984244193,145.0098570809975,143.07467222559526,144.44219970703125,3514200,0.0,0.0
40,2017-03-02 00:00:00-05:00,144.76897483044297,144.86357122955908,143.59926305785416,143.90028381347656,1889800,0.0,0.0
41,2017-03-03 00:00:00-05:00,143.90026877001017,144.88076139425164,143.30681029042617,144.66574096679688,2254400,0.0,0.0
42,2017-03-06 00:00:00-05:00,144.00350227873432,145.65487103051677,143.74548821483825,145.09580993652344,2576500,0.0,0.0
43,2017-03-07 00:00:00-05:00,144.88074649563757,145.6634239208006,144.4335003778581,144.75173950195312,2702300,0.0,0.0
44,2017-03-08 00:00:00-05:00,144.60928220410864,145.42941585492983,143.99635546506735,144.95460510253906,2048200,0.625,0.0
45,2017-03-09 00:00:00-05:00,145.16179906347708,145.95603521679323,144.80786117241908,145.0409393310547,3631400,0.0,0.0
46,2017-03-10 00:00:00-05:00,145.394941729342,146.75893814696462,145.0841575687099,146.74166870117188,3716600,0.0,0.0
47,2017-03-13 00:00:00-04:00,146.75029170260933,147.5617711354477,146.37044297892172,146.94021606445312,3130200,0.0,0.0
48,2017-03-14 00:00:00-04:00,146.4653961082217,146.9142962332686,145.46397920270164,145.94741821289062,2522600,0.0,0.0
49,2017-03-15 00:00:00-04:00,146.20636292146392,148.45954369075463,146.1459264771146,148.29551696777344,2807600,0.0,0.0
50,2017-03-16 00:00:00-04:00,148.54594565546125,148.60636895472945,146.94885787480408,147.88121032714844,3138600,0.0,0.0
