index,Date,open,high,low,close,volume,Dividends,Stock Splits
0,2017-01-03,89.7759341891204,89.94652336963179,89.34946715368257,89.82245635986328,5953000,0.0,0.0
1,2017-01-04,89.5588214106206,90.12486678094761,89.41149331782853,89.67513275146484,5828900,0.0,0.0
2,2017-01-05,89.94652738506062,90.69866739679782,89.51230466316734,90.61337280273438,6217200,0.0,0.0
3,2017-01-06,90.46604807325342,90.72193186498215,89.76043612387427,90.17915344238281,5221400,0.0,0.0
4,2017-01-09,90.21792836001543,90.41953432827944,89.86124451822013,90.16365051269531,5457500,0.0,0.0
5,2017-01-10,89.96978885826698,90.72192887323777,89.84572775826736,90.07059478759766,5312800,0.0,0.0
6,2017-01-11,90.00855938580912,90.14037615048547,88.41122912759653,88.9617691040039,8887200,0.0,0.0
7,2017-01-12,88.60507736688794,88.96176706382391,87.90722113891574,88.87647247314453,6627300,0.0,0.0
8,2017-01-13,89.12459370347962,89.18662128804688,88.73689319969324,88.86095428466797,4935200,0.0,0.0
9,2017-01-17,88.34920448885647,89.20990019541605,88.1398428759955,89.07032775878906,6255400,0.0,0.0
10,2017-01-18,89.0703374086761,89.24867637067345,88.71365356883976,88.93851470947266,5014600,0.0,0.0
11,2017-01-19,88.9229992728714,89.09358846310992,88.33369277454945,88.5508041381836,5540800,0.0,0.0
12,2017-01-20,88.77568803046094,89.19440541807118,88.45777659214187,88.51205444335938,7502400,0.0,0.0
13,2017-01-23,88.79120548322916,88.9928055640109,88.24067126415443,88.32596588134766,7989800,0.0,0.0
14,2017-01-24,87.55054889289073,87.85295487574584,86.18584117805655,86.6588363647461,12450300,0.0,0.0
15,2017-01-25,86.79068486114512,87.46528625488281,85.8834665810398,87.46528625488281,9385500,0.0,0.0
16,2017-01-26,86.84489980689118,87.49623371583999,86.53473826727013,86.72083282470703,10164300,0.0,0.0
17,2017-01-27,86.84491906065449,88.03903740763937,86.76738013751846,87.91497039794922,8886100,0.0,0.0
18,2017-01-30,87.93049199542264,88.08556985979556,87.50401899463515,87.72113037109375,6969400,0.0,0.0
19,2017-01-31,87.45748705648464,87.93048218062002,87.1783421990985,87.81417083740234,8713400,0.0,0.0
20,2017-02-01,87.2171170909829,87.86845116611907,87.2093614236577,87.79866790771484,7082300,0.0,0.0
21,2017-02-02,87.48075839671787,88.10108168936785,87.44198597248675,88.06230926513672,7826300,0.0,0.0
22,2017-02-03,88.00801385187616,88.13208085197547,87.35667984887525,88.11656951904297,7267600,0.0,0.0
23,2017-02-06,87.97700312733467,88.07780313493896,87.32566907972435,87.93048095703125,6178400,0.0,0.0
24,2017-02-07,88.08557518066154,88.10108651754058,87.65910806995433,87.9925308227539,5507900,0.0,0.0
25,2017-02-08,87.85294203457867,88.15534797323213,87.73663069297952,87.93048095703125,5272000,0.0,0.0
26,2017-02-09,87.93048307492624,88.89973441853029,87.93048307492624,88.45775604248047,5854600,0.0,0.0
27,2017-02-10,88.64385589935866,89.93877435138243,88.57407263808554,89.35722351074219,6438500,0.0,0.0
28,2017-02-13,89.38824559036343,90.0395856469184,89.34172341341001,89.85348510742188,5710800,0.0,0.0
29,2017-02-14,89.51230985833801,90.25669424586134,89.41925959145713,90.22567749023438,5539100,0.0,0.0
30,2017-02-15,89.86897356098342,91.07859718050646,89.62859523763314,90.87699127197266,5979700,0.0,0.0
31,2017-02-16,90.72192214218508,91.71443453190699,90.72192214218508,91.55935668945312,7119300,0.0,0.0
32,2017-02-17,91.64465961401507,92.19519369539827,91.53610393125449,92.16417694091797,8691400,0.0,0.0
33,2017-02-21,91.80748551313438,92.96283142132445,91.74545200932592,92.78449249267578,8595100,0.0,0.0
34,2017-02-22,92.48985446456184,92.86979939725626,92.46659337502733,92.67594909667969,5103900,0.0,0.0
35,2017-02-23,92.67595049524719,94.52140917072461,92.64493965262766,94.36632537841797,9980900,0.0,0.0
36,2017-02-24,94.83463603288403,95.80249402541192,94.36631803359549,95.79469299316406,10835000,0.8,0.0
37,2017-02-27,95.32638525690786,95.91178434435997,95.30297024620776,95.5371322631836,5946200,0.0,0.0
38,2017-02-28,95.23268996177202,95.73222985508389,95.17805297203432,95.3887939453125,8885500,0.0,0.0
39,2017-03-01,95.60736576278885,97.13720781219698,95.55272875941665,96.67669677734375,9393900,0.0,0.0
40,2017-03-02,96.59085075248862,97.06697582653626,96.02105967937034,96.49718475341797,6950200,0.0,0.0
41,2017-03-03,96.49718993642573,96.7313519691858,96.18498183272948,96.62207794189453,5585200,0.0,0.0
42,2017-03-06,96.01322329474064,97.12157707821655,95.69320238198452,96.5595932006836,6670700,0.0,0.0
43,2017-03-07,95.67761713346391,97.14501519789206,95.52931414299451,96.65328216552734,6644000,0.0,0.0
44,2017-03-08,96.5908058571127,97.31670063629888,96.3956729159872,96.8639907836914,7909900,0.0,0.0
45,2017-03-09,97.23870386148091,98.51096921619715,96.91868279793941,98.30802917480469,8571100,0.0,0.0
46,2017-03-10,98.37825154425951,98.7294885535165,97.98798555398,98.51094055175781,7395400,0.0,0.0
47,2017-03-13,98.21432620399298,99.08851808339884,98.18310421473055,98.87777709960938,7162500,0.0,0.0
