index,Date,open,high,low,close,volume,Dividends,Stock Splits
0,2017-01-03,26.66526690422193,26.787309724052825,26.425785891593833,26.745861053466797,115127600,0.0,0.0
1,2017-01-04,26.67677402378607,26.82875303786345,26.653747379573833,26.715919494628906,84472400,0.0,0.0
2,2017-01-05,26.692893104572285,26.90934742723303,26.667563268651545,26.85177993774414,88774400,0.0,0.0
3,2017-01-06,26.890926397200776,27.208700075222662,26.819543269793733,27.151132583618164,127007600,0.0,0.0
4,2017-01-09,27.1603412642579,27.50114158038002,27.158039829552894,27.399822235107422,134247600,0.0,0.0
5,2017-01-10,27.34915939598723,27.489624196826544,27.24093400230956,27.427452087402344,97848400,0.0,0.0
6,2017-01-11,27.3422502645313,27.61627203608012,27.310012615739687,27.5748233795166,110354400,0.0,0.0
7,2017-01-12,27.379099770596024,27.471208109913796,27.22021292919338,27.459693908691406,108344800,0.0,0.0
8,2017-01-13,27.42746335999376,27.54490156697303,27.358381648401032,27.411344528198242,104447600,0.0,0.0
9,2017-01-17,27.25014205751116,27.687655265994422,27.222510790900074,27.63239097595215,137759200,0.0,0.0
10,2017-01-18,27.63240344244086,27.747538456784365,27.565624923303123,27.63010025024414,94852000,0.0,0.0
11,2017-01-19,27.494235559650775,27.653120648879817,27.48732774144349,27.581737518310547,102389200,0.0,0.0
12,2017-01-20,27.736011739383926,27.736011739383926,27.5702188692571,27.63239097595215,130391600,0.0,0.0
13,2017-01-23,27.632399664377807,27.818917799929746,27.579436792019994,27.650821685791016,88200800,0.0,0.0
14,2017-01-24,27.528771515197217,27.655418925737962,27.517257315684336,27.625484466552734,92844000,0.0,0.0
15,2017-01-25,27.72910231322076,28.115955834702337,27.69686466616563,28.065296173095703,129510400,0.0,0.0
16,2017-01-26,28.016942954166822,28.194251790368554,28.0008241287685,28.079116821289062,105350400,0.0,0.0
17,2017-01-27,28.12518039426896,28.17353688815253,28.000834371359414,28.08142852783203,82251600,0.0,0.0
18,2017-01-30,27.8465441348101,28.007732391357422,27.784372023519055,28.007732391357422,121510000,0.0,0.0
19,2017-01-31,27.897208806323995,27.952473110362984,27.775165996361807,27.943262100219727,196804000,0.0,0.0
20,2017-02-01,29.251190363700744,30.047925906640124,29.246585737875417,29.647254943847656,447940000,0.0,0.0
21,2017-02-02,29.46994834844069,29.794628057502138,29.42389330532612,29.596595764160156,134841600,0.0,0.0
22,2017-02-03,29.545938671062146,29.748577364792464,29.51139958174031,29.723247528076172,98029200,0.0,0.0
23,2017-02-06,29.734766300736073,30.05023507718109,29.68180167077826,30.001876831054688,107383600,0.0,0.0
24,2017-02-07,30.05944218685019,30.416361365033605,30.03871873154924,30.287410736083984,152735200,0.0,0.0
25,2017-02-08,30.245959064105634,30.4462927944268,30.21602284651169,30.404842376708984,92016400,0.0,0.0
26,2017-02-09,30.446474171247278,30.63148954064726,30.323902238905653,30.62455177307129,113399600,0.1425,0.0
27,2017-02-10,30.63380588413618,30.7448136993057,30.538985017759696,30.555171966552734,80262000,0.0,0.0
28,2017-02-13,30.77718979249929,30.948329627164423,30.700870820103,30.825754165649414,92141600,0.0,0.0
29,2017-02-14,30.86738066900869,31.24203419045037,30.816501360062997,31.225847244262695,132904800,0.0,0.0
30,2017-02-15,31.34147967526806,31.514930892914073,31.133336096768414,31.33916473388672,142492400,0.0,0.0
31,2017-02-16,31.376183389497,31.429374133386304,31.184230194123913,31.30217933654785,90338400,0.0,0.0
32,2017-02-17,31.244359636804166,31.413184566590513,31.244359636804166,31.387744903564453,88792800,0.0,0.0
33,2017-02-21,31.505685386614203,31.625945913088973,31.447868300849873,31.614381790161133,98028800,0.0,0.0
34,2017-02-22,31.55193750864108,31.711513225718168,31.477933475849756,31.70920181274414,83347600,0.0,0.0
35,2017-02-23,31.771637432931243,31.79476214360493,31.521867267087664,31.575057983398438,83152800,0.0,0.0
36,2017-02-24,31.43167610624884,31.605127334594727,31.28597594519853,31.605127334594727,87106400,0.0,0.0
37,2017-02-27,31.716147566560863,31.785528790874093,31.517256605596625,31.667579650878906,81029600,0.0,0.0
38,2017-02-28,31.7022651015696,31.785521846781478,31.614382001380704,31.68145179748535,93931600,0.0,0.0
39,2017-03-01,31.889590146585466,32.412255306318166,31.82252388303502,32.32899856567383,145658400,0.0,0.0
40,2017-03-02,32.377564310423224,32.442319156734115,32.09079032756467,32.137046813964844,104844000,0.0,0.0
41,2017-03-03,32.095414741910034,32.33824716533462,32.05147319981067,32.326683044433594,84432400,0.0,0.0
42,2017-03-06,32.23186376197643,32.32437320481221,32.05378970115708,32.22492599487305,87000000,0.0,0.0
43,2017-03-07,32.160170810212044,32.3729372331792,32.09772737806563,32.26655578613281,69785200,0.0,0.0
44,2017-03-08,32.134725706058425,32.33130514891458,32.104663230316284,32.14628982543945,74828800,0.0,0.0
45,2017-03-09,32.086171392808566,32.097731986936,31.69532732590461,32.07229232788086,88623600,0.0,0.0
46,2017-03-10,32.20411244600232,32.229552101477296,32.06303863452733,32.178672790527344,78451200,0.0,0.0
47,2017-03-13,32.11160886143455,32.24574138671217,32.10467109388138,32.19255065917969,69686800,0.0,0.0
48,2017-03-14,32.215674541184775,32.296616327969346,32.109289571651075,32.14398193359375,61236400,0.0,0.0
49,2017-03-15,32.24111532727662,32.551014009818594,32.15323224191797,32.48394775390625,102767200,0.0,0.0
50,2017-03-16,32.54407765973749,32.61345886020559,32.43769268183648,32.537139892578125,76928000,0.0,0.0
51,2017-03-17,32.60883917559597,32.60883917559597,32.352131151569246,32.37525939941406,175540000,0.0,0.0
52,2017-03-20,32.47007021069586,32.72446677028318,32.43075502037318,32.71521759033203,86168000,0.0,0.0
53,2017-03-21,32.865537109184174,33.025112795244745,32.31511744511997,32.34055709838867,158119600,0.0,0.0
54,2017-03-22,32.342877504775444,32.747597084061425,32.322060673038834,32.70596694946289,103440800,0.0,0.0
55,2017-03-23,32.66896241505103,32.74296997312818,32.51863941490938,32.59033203125,81385200,0.0,0.0
56,2017-03-24,32.724460772576016,32.77996642873326,32.45850366901273,32.525569915771484,89582400,0.0,0.0
57,2017-03-27,32.23649033017133,32.65971177065704,32.058412739296315,32.58108139038086,94300400,0.0,0.0
58,2017-03-28,32.58802048588234,33.31188794268025,32.5209506955383,33.256385803222656,133499200,0.0,0.0
59,2017-03-29,33.228624693216595,33.41595496380093,33.11530549478005,33.33038330078125,116760000,0.0,0.0
60,2017-03-30,33.346573814179116,33.41826641626547,33.18699813656813,33.286441802978516,84829200,0.0,0.0
61,2017-03-31,33.237901268427656,33.36509961922357,33.07369911942267,33.22402572631836,78646800,0.0,0.0
