Date,open,high,low,close,volume
2018-11-09,116.33,116.93,115.3,116.89,169263
2018-11-12,117.0,117.05,115.95,116.08,74889
2018-11-13,116.1,117.17,115.6,116.08,96614
2018-11-14,115.73,116.85,115.21,116.83,93587
2018-11-15,116.92,118.69,116.33,117.01,135387
2018-11-16,117.44,118.12,115.78,117.14,117392
2018-11-19,117.2,118.49,116.91,117.46,106234
2018-11-20,117.1,117.6,115.95,117.42,103815
2018-11-21,116.89,118.4,116.61,118.2,111062
2018-11-22,118.2,119.0,117.5,118.76,105446
2018-11-23,118.49,119.84,117.88,119.54,129948
2018-11-26,119.54,120.26,116.17,119.59,214972
2018-11-27,119.55,123.79,119.47,123.79,260687
2018-11-28,123.51,127.95,123.21,127.7,247852
2018-11-29,127.81,129.7,126.51,126.91,219933
2018-11-30,126.7,127.89,125.53,127.38,233490
2018-12-03,127.88,129.92,127.02,128.17,132646
2018-12-04,127.97,128.87,124.72,126.66,205111
2018-12-05,125.71,128.2,124.79,128.2,143467
2018-12-06,127.11,127.74,125.72,126.99,92203
2018-12-07,127.2,127.54,126.5,127.45,96898
2018-12-10,127.0,128.11,126.22,126.3,101237
2018-12-11,126.3,127.83,125.31,127.38,120684
2018-12-12,127.99,129.34,127.03,128.9,130243
2018-12-13,129.02,132.32,128.75,132.2,203228
2018-12-14,132.19,132.2,130.54,131.6,101435
2018-12-17,131.11,134.9,131.11,133.49,144401
2018-12-18,132.1,133.24,131.33,132.12,135896
2018-12-19,132.29,132.29,129.41,131.25,154270
2018-12-20,131.0,132.17,129.05,132.17,169667
2018-12-21,131.6,131.77,129.13,130.14,157198
2018-12-24,129.97,130.1,127.21,127.83,61743
2018-12-25,127.01,127.02,124.61,125.55,58631
2018-12-26,125.62,128.93,125.62,128.67,69071
2018-12-27,129.96,129.96,128.16,128.89,99165
2018-12-28,129.53,131.55,128.94,130.73,83656
2018-12-29,131.31,131.31,129.51,130.39,18666
2019-01-03,129.78,130.43,128.51,129.93,63500
2019-01-04,130.21,130.75,129.34,130.7,57889
2019-01-08,130.94,131.28,130.3,131.28,79771
2019-01-09,131.75,133.17,131.63,132.29,90514
2019-01-10,132.35,133.43,131.37,133.43,106387
2019-01-11,133.53,135.45,133.08,134.37,129198
2019-01-14,133.55,134.35,132.77,133.89,86132
2019-01-15,134.0,134.61,132.23,133.89,140167
2019-01-16,133.87,133.87,131.42,131.8,83212
2019-01-17,132.0,133.09,130.69,132.82,144099
2019-01-18,133.34,133.79,132.11,133.59,86962
2019-01-21,133.75,133.75,133.09,133.53,46764
2019-01-22,133.17,133.38,132.33,133.06,105402
2019-01-23,133.19,134.02,132.56,133.78,108996
2019-01-24,133.65,134.44,132.85,133.69,114448
2019-01-25,133.75,134.72,132.72,133.12,123274
2019-01-28,133.15,133.36,130.61,130.89,104404
2019-01-29,131.0,132.6,130.01,132.6,117525
2019-01-30,132.59,136.39,131.92,136.39,236099
2019-01-31,136.65,139.0,135.96,135.96,227174
2019-02-01,136.0,137.58,135.0,135.34,133178
2019-02-04,135.34,136.26,134.8,135.0,76455
2019-02-05,135.7,136.94,135.0,135.88,89284
2019-02-06,135.9,137.88,135.86,136.9,117511
2019-02-07,136.8,137.16,135.64,136.5,91653
2019-02-08,136.08,137.38,135.84,137.32,66037
2019-02-11,137.2,137.88,136.84,137.02,91234
2019-02-12,137.54,137.9,137.2,137.8,85666
2019-02-13,137.98,137.98,135.42,135.52,97090
2019-02-14,134.68,137.58,134.68,137.4,128354
2019-02-15,137.52,138.88,136.76,137.5,135615
2019-02-18,137.5,137.5,135.56,136.6,97459
2019-02-19,136.68,138.0,135.84,138.0,106316
2019-02-20,138.2,142.58,138.04,142.5,218195
2019-02-21,142.6,142.6,139.64,140.52,132272
2019-02-22,140.5,141.82,139.96,141.22,94813
2019-02-25,141.4,146.06,141.4,145.94,245286
2019-02-26,145.78,146.58,143.7,144.2,202346
2019-02-27,144.4,145.3,141.82,143.02,127092
2019-02-28,143.0,143.22,140.9,141.14,177201
2019-03-01,141.74,142.4,140.66,141.0,102022
2019-03-04,141.16,141.16,137.88,137.94,162320
2019-03-05,137.2,138.04,136.32,137.7,114161
2019-03-06,138.32,145.26,138.32,144.42,318763
2019-03-07,144.5,145.96,143.5,144.42,241602
2019-03-11,143.7,144.34,140.46,141.0,342661
2019-03-12,142.26,144.68,141.76,143.8,262723
2019-03-13,137.8,140.02,137.56,138.5,1373068
2019-03-14,138.72,140.0,138.5,139.52,367362
2019-03-15,139.9,142.26,139.9,142.26,297592
2019-03-18,142.26,143.0,141.04,142.84,249663
2019-03-19,143.1,144.2,142.5,143.5,233372
2019-03-20,143.92,144.34,142.26,143.16,244040
2019-03-21,143.16,143.5,141.56,142.9,220577
2019-03-22,143.0,143.28,141.76,142.8,155512
2019-03-25,142.24,143.36,141.06,142.8,173100
2019-03-26,143.34,144.0,142.4,143.0,245623
2019-03-27,141.0,141.54,137.76,138.74,442842
2019-03-28,138.46,138.98,134.02,134.36,375900
2019-03-29,134.56,137.3,134.2,137.2,217769
2019-04-01,137.2,140.64,137.12,139.94,168977
2019-04-02,139.98,141.94,139.9,141.6,185077
2019-04-03,142.0,142.9,140.7,141.86,233583
2019-04-04,141.72,142.88,141.24,142.88,130839
2019-04-05,142.8,144.0,142.66,143.32,160356
2019-04-08,143.4,144.2,142.58,143.48,94575
2019-04-09,143.48,144.16,142.58,144.0,131574
2019-04-10,143.92,145.28,143.32,144.4,96599
2019-04-11,144.48,144.48,141.52,142.3,107842
2019-04-12,142.3,144.58,141.72,144.18,115388
2019-04-15,144.18,144.38,143.26,143.92,56811
2019-04-16,144.06,146.0,143.54,145.58,144893
2019-04-17,145.3,146.3,144.76,146.0,90210
2019-04-18,146.0,146.0,143.82,145.1,113999
2019-04-19,144.84,145.48,144.74,145.1,23758
2019-04-22,145.5,145.88,145.24,145.28,23662
2019-04-23,145.28,145.44,143.34,144.3,84440
2019-04-24,144.28,144.44,141.98,143.16,105596
2019-04-25,142.88,144.8,141.82,144.7,122181
2019-04-26,144.48,147.26,143.82,147.2,137838
2019-04-29,146.8,147.96,144.5,144.9,79816
2019-04-30,145.4,145.4,142.12,143.42,155974
2019-05-02,143.16,143.2,142.0,142.8,63089
2019-05-03,143.0,143.8,142.0,142.38,100897
2019-05-06,141.9,144.0,140.8,144.0,84374
2019-05-07,143.6,144.38,141.52,141.52,118566
2019-05-08,141.6,142.0,140.9,141.08,144960
2019-05-10,140.98,141.34,138.68,139.22,123254
2019-05-13,139.0,140.64,138.96,139.7,115260
2019-05-14,140.6,141.64,139.3,139.54,127003
2019-05-15,139.8,140.14,138.0,138.0,134528
2019-05-16,138.3,138.98,135.6,135.6,132025
2019-05-17,135.98,137.8,135.68,135.9,118662
2019-05-20,136.1,136.34,133.52,133.58,156682
2019-05-21,134.0,135.98,134.0,135.48,168817
2019-05-22,135.5,138.84,135.24,137.82,159960
2019-05-23,137.52,137.52,134.66,135.2,140682
2019-05-24,135.64,137.24,135.64,136.02,107275
2019-05-27,136.48,137.26,136.42,137.1,36823
2019-05-28,137.58,138.46,136.38,136.4,281547
2019-05-29,136.6,137.66,136.5,137.08,118416
2019-05-30,137.5,137.62,136.36,137.0,121323
2019-05-31,136.7,137.18,136.1,137.18,146326
2019-06-03,137.04,138.08,136.76,137.7,128218
2019-06-04,137.56,138.18,137.0,137.96,190569
2019-06-05,138.0,138.18,136.94,137.72,156504
2019-06-06,137.72,138.5,137.28,138.5,150923
2019-06-07,138.9,139.4,137.7,138.02,194939
2019-06-10,138.3,138.52,135.16,138.52,404887
2019-06-11,138.66,143.92,138.08,143.04,326304
2019-06-13,143.54,146.76,143.42,146.76,224066
2019-06-14,146.0,147.36,145.64,146.02,128458
2019-06-17,145.96,147.0,144.58,145.06,121266
2019-06-18,145.06,147.5,145.04,147.5,147049
2019-06-19,147.7,148.68,146.54,148.68,184590
2019-06-20,143.0,143.1,141.12,142.24,332840
2019-06-21,142.38,144.26,141.8,141.8,268112
2019-06-24,142.18,143.32,141.8,142.72,80951
2019-06-25,142.44,142.56,138.7,140.6,152956
2019-06-26,140.2,141.98,140.2,141.48,115469
2019-06-27,141.48,141.9,140.16,141.68,80314
2019-06-28,141.72,143.74,141.14,143.08,105438
2019-07-01,143.5,144.52,142.08,142.36,102008
2019-07-02,142.3,144.2,141.4,144.2,109210
2019-07-03,143.62,145.24,143.24,144.32,115920
2019-07-04,143.7,144.56,142.62,142.8,90254
2019-07-05,142.92,144.5,142.4,144.5,101201
2019-07-08,143.88,144.3,143.12,143.66,64111
2019-07-09,143.56,144.0,142.54,142.92,84789
2019-07-10,143.08,144.14,141.06,142.7,136616
2019-07-11,143.14,143.18,140.86,141.46,73271
2019-07-12,141.22,141.98,140.3,141.94,51841
2019-07-15,142.64,142.84,141.34,142.66,52839
2019-07-16,142.1,144.46,141.9,144.4,127211
2019-07-17,144.04,146.88,143.54,144.8,135347
2019-07-18,144.52,147.7,144.32,147.7,188174
2019-07-19,147.7,152.18,147.42,149.02,230709
2019-07-22,149.5,149.64,146.52,146.52,99953
2019-07-23,146.8,147.98,145.74,146.68,85032
2019-07-24,147.38,147.38,145.34,146.48,78683
2019-07-25,146.42,146.42,145.08,145.9,105295
2019-07-26,145.9,145.9,143.4,143.92,186563
2019-07-29,143.96,145.44,143.8,144.16,65460
2019-07-30,144.5,145.1,143.26,145.1,97139
2019-07-31,145.02,146.96,144.24,146.46,109089
2019-08-01,145.82,146.28,143.82,144.48,91505
2019-08-02,143.4,145.32,142.62,143.2,127956
