index,Date,open,high,low,close,volume,Dividends,Stock Splits
0,2017-01-03,98.79505741676681,100.24277614051466,98.51118788622321,99.72235107421875,4711300,0.0,0.0
1,2017-01-04,99.67502779749292,101.00920436006383,99.22084525383998,100.66856384277344,3299000,0.0,0.0
2,2017-01-05,101.5029942274626,102.54599409281475,100.94356248922556,101.44609832763672,3262200,0.22,0.0
3,2017-01-06,101.75900563510012,102.50807112003749,101.33232615203856,102.17620849609375,3044600,0.0,0.0
4,2017-01-09,102.17617592153056,102.54596661804179,101.74948934043736,101.97705841064453,2500700,0.0,0.0
5,2017-01-10,101.97708032010742,102.9442237570645,101.37972042504808,101.75899505615234,3162200,0.0,0.0
6,2017-01-11,101.49349702600317,102.26152284906983,101.29437948795112,102.22359466552734,2499000,0.0,0.0
7,2017-01-12,102.0908542178936,103.21919421817776,101.74950778476665,103.07696533203125,3288500,0.0,0.0
8,2017-01-13,103.00112472759838,103.7312297456765,102.90630786700795,103.06749725341797,4661900,0.0,0.0
9,2017-01-17,102.62182305748864,103.21917559062817,102.03394714340348,102.78301239013672,2898200,0.0,0.0
10,2017-01-18,103.07696871137048,103.56054404649775,102.31842668382338,103.0295639038086,2652300,0.0,0.0
11,2017-01-19,103.20022252869488,103.70276553824058,102.71665446213149,102.90628814697266,1885300,0.0,0.0
12,2017-01-20,103.57949892074778,104.30011995689628,103.26660405876383,104.26219177246094,4173300,0.0,0.0
13,2017-01-23,103.97774660928707,104.28116486637563,103.47520356511558,103.94929504394531,3678200,0.0,0.0
14,2017-01-24,104.11998821637688,104.42340653160417,103.52263544285343,104.22428894042969,2899600,0.0,0.0
15,2017-01-25,104.92592514390077,105.31467637844156,103.73121264207441,104.48027801513672,3848300,0.0,0.0
16,2017-01-26,104.27168146502514,104.60354405483776,103.35194283464308,103.71224975585938,2568700,0.0,0.0
17,2017-01-27,103.89237794871974,104.14838409423828,103.27605774809966,104.14838409423828,2591600,0.0,0.0
18,2017-01-30,103.702778466199,103.88292831903783,102.49858199174788,103.63640594482422,4304400,0.0,0.0
19,2017-01-31,100.47892798156231,101.55037189340182,100.03328092803515,100.82027435302734,6470200,0.0,0.0
20,2017-02-01,101.10473961811512,101.21852416992188,98.62050505985638,99.5592041015625,6149100,0.0,0.0
21,2017-02-02,99.48334654488944,100.02381049990564,99.18941216547788,99.69194793701172,4112000,0.0,0.0
22,2017-02-03,100.80132146663423,101.9675896129482,100.12811247784182,101.05733489990234,7132600,0.0,0.0
23,2017-02-06,101.05732635887064,101.09525453963299,100.21344423057542,101.06680297851562,3445100,0.0,0.0
24,2017-02-07,101.4555532295206,101.59778208740207,100.54529866676353,101.07627868652344,3204800,0.0,0.0
25,2017-02-08,101.0288893809318,101.36075194416699,100.31775221654436,101.19007873535156,2993600,0.0,0.0
26,2017-02-09,101.19008814960992,101.9675978989803,100.98148673786581,101.74003601074219,2679200,0.0,0.0
27,2017-02-10,101.97709096125021,102.06242396427054,101.64522110311522,101.71159362792969,2078400,0.0,0.0
28,2017-02-13,102.119279865776,102.71663963149311,101.96757438661918,102.66922760009766,2337100,0.0,0.0
29,2017-02-14,102.41323705707187,103.55105364347546,102.176191332066,103.23815155029297,2336800,0.0,0.0
30,2017-02-15,103.35194084109514,104.35701244630144,103.13385558110383,103.97774505615234,2920000,0.0,0.0
31,2017-02-16,104.06308540593892,104.48976486705362,103.24764743815602,103.63640594482422,2146400,0.0,0.0
32,2017-02-17,103.57947940711594,104.30010030750462,103.33295710582149,103.75015258789062,2850900,0.0,0.0
33,2017-02-21,103.77862696246102,104.52769240420136,103.6743262532274,104.45184326171875,3117200,0.0,0.0
34,2017-02-22,104.11048858432746,104.68888075022295,103.50365208798817,103.7691421508789,3049300,0.0,0.0
35,2017-02-23,104.1389046610489,105.01123098360975,103.92081946337885,105.00174713134766,4162200,0.0,0.0
36,2017-02-24,104.81212019704141,105.24828338623047,104.48973430603897,105.24828338623047,2471700,0.0,0.0
37,2017-02-27,104.67940206082099,105.23882654465116,104.07256553453722,104.84059143066406,2361200,0.0,0.0
