Date,open,high,low,close,volume
2018-05-15,402.0,402.0,392.0,394.85,4699950
2018-05-16,395.5,398.0,388.65,389.8,4060930
2018-05-17,391.95,392.05,381.85,381.85,4209030
2018-05-18,382.0,389.7,380.1,387.0,3237250
2018-05-21,387.95,391.55,385.45,386.9,2367900
2018-05-22,387.5,388.35,381.5,385.55,2431880
2018-05-23,384.65,384.7,376.05,377.7,4111650
2018-05-24,379.2,381.5,374.25,378.0,4302720
2018-05-25,378.2,379.45,374.7,378.3,2793010
2018-05-28,376.6,379.65,374.25,379.55,1558470
2018-05-29,378.85,383.5,376.55,383.0,3487340
2018-05-30,382.5,383.8,379.0,381.05,2575260
2018-05-31,381.5,386.0,381.1,385.3,3912500
2018-06-01,384.2,386.75,381.65,382.55,1964460
2018-06-04,383.5,387.75,382.85,384.9,1335330
2018-06-05,383.25,386.35,371.4,381.95,22365300
2018-06-06,382.7,382.75,377.1,380.8,2338250
2018-06-07,382.0,384.0,380.05,380.05,2228290
2018-06-08,380.5,383.75,378.45,381.0,4781700
2018-06-09,381.7,382.95,381.05,382.15,231600
2018-06-11,382.8,386.5,378.85,384.55,1725040
2018-06-13,385.4,386.9,381.2,382.0,2484080
2018-06-14,383.8,383.8,377.3,381.7,2809730
2018-06-15,381.45,384.5,379.0,383.25,4633410
2018-06-18,381.85,389.5,379.4,387.0,4061820
2018-06-19,386.5,393.6,383.25,392.35,5227340
2018-06-20,393.1,395.9,387.7,390.2,3966110
2018-06-21,390.0,395.15,387.05,392.75,4106180
2018-06-22,393.5,395.4,388.45,390.8,3212620
2018-06-25,390.0,399.65,388.7,393.95,2707500
2018-06-26,395.0,397.35,388.7,389.3,2825190
2018-06-27,390.25,396.5,387.7,394.6,3046940
2018-06-28,395.0,399.85,394.0,396.5,3639810
2018-06-29,391.1,396.2,391.05,396.15,2783110
2018-07-02,394.5,398.8,392.5,394.7,2677000
2018-07-03,393.95,394.7,388.35,389.95,2404620
2018-07-04,391.0,393.75,388.35,393.25,1735390
2018-07-05,392.9,406.05,391.95,406.05,3870030
2018-07-06,405.05,405.05,398.8,403.4,2324820
2018-07-09,402.4,410.45,402.4,408.15,2545920
2018-07-10,410.8,419.0,407.25,413.2,5875760
2018-07-11,412.0,414.15,407.15,409.85,3955770
2018-07-12,407.0,408.45,399.6,406.45,3588540
2018-07-13,407.0,412.0,403.45,406.9,2574640
2018-07-16,406.8,411.9,404.0,407.3,2911940
2018-07-17,406.5,406.5,398.15,399.5,2712430
2018-07-18,400.95,402.2,396.7,400.9,2846350
2018-07-19,401.1,403.3,397.2,400.5,1424950
2018-07-20,401.55,401.55,391.1,393.25,2726380
2018-07-23,394.25,396.35,391.4,394.5,1390630
2018-07-24,394.7,395.1,390.35,394.9,1316730
2018-07-25,392.5,396.55,390.85,395.8,1788150
2018-07-26,396.0,400.0,393.85,397.35,1638900
2018-07-27,397.35,404.4,397.35,403.5,2318520
2018-07-30,400.3,407.0,399.0,406.45,1641700
2018-07-31,407.0,419.0,405.6,419.0,4504090
2018-08-01,418.95,419.8,412.1,416.6,3024390
2018-08-02,416.95,419.45,413.65,416.8,2388420
2018-08-03,416.7,416.7,407.2,411.25,2831870
2018-08-06,412.55,422.6,412.5,419.35,4759030
2018-08-07,420.95,432.45,420.6,427.9,9945010
2018-08-08,427.0,430.0,418.8,429.0,4131460
2018-08-09,427.5,432.3,424.3,432.3,3231570
2018-08-10,429.2,441.15,429.2,433.25,4115890
2018-08-13,430.3,439.95,429.0,437.2,3684080
2018-08-14,439.75,442.0,430.0,431.3,2621040
2018-08-15,430.0,433.25,425.05,428.55,3823470
2018-08-16,428.55,430.0,422.1,422.3,2658400
2018-08-17,423.0,427.85,421.0,425.8,2124680
2018-08-20,418.05,429.9,418.05,427.0,1112730
2018-08-21,429.0,434.0,425.85,434.0,2407720
2018-08-22,434.5,440.0,432.4,437.3,2394360
2018-08-23,437.8,441.25,426.25,430.0,2426110
2018-08-24,432.0,432.0,425.0,428.1,2826300
2018-08-27,429.25,434.75,426.5,434.75,1689290
2018-08-28,435.0,437.95,432.15,436.0,2271780
2018-08-29,436.2,444.95,435.35,440.5,2671530
2018-08-30,444.3,444.3,435.0,437.0,2556860
2018-08-31,435.0,438.25,430.95,435.7,2589720
2018-09-03,435.7,439.7,432.4,438.75,1178880
2018-09-04,439.0,444.85,436.85,439.35,1614480
2018-09-05,438.15,440.5,434.45,434.5,1820600
2018-09-06,435.5,439.0,433.2,436.05,1683090
2018-09-07,435.1,441.55,432.4,439.55,1629820
2018-09-10,438.95,449.45,438.95,449.45,2122830
2018-09-11,450.0,451.35,446.0,448.8,2337800
2018-09-12,449.5,453.35,441.15,444.9,3877350
2018-09-13,445.45,445.85,438.5,442.4,1911460
2018-09-14,441.25,443.7,437.85,441.35,2120550
2018-09-17,442.7,445.0,437.55,441.3,2204430
2018-09-18,440.85,442.0,435.75,440.4,2488300
2018-09-19,440.85,442.75,436.8,437.85,2328070
2018-09-20,438.3,444.85,438.0,438.7,5952670
2018-09-21,439.75,443.9,434.45,440.4,4403540
2018-09-24,442.05,449.4,440.45,447.05,3194840
2018-09-25,449.9,460.35,446.55,460.0,4021640
2018-09-26,460.0,464.5,454.7,458.5,4067720
2018-09-27,458.0,478.0,456.7,478.0,5731410
2018-09-28,478.95,495.0,476.45,493.0,8520850
2018-10-01,496.0,499.0,487.8,494.05,3755170
2018-10-02,497.0,498.8,489.0,491.4,2803520
2018-10-03,492.1,512.25,491.5,512.0,6132650
2018-10-04,512.0,522.8,500.85,508.2,7284010
2018-10-05,506.0,516.0,498.35,503.0,4826790
2018-10-08,490.45,492.45,478.05,479.45,5023270
2018-10-09,481.75,483.7,473.1,473.1,4152170
2018-10-10,473.3,475.8,466.7,468.75,4822860
2018-10-11,462.0,467.05,458.15,462.55,4442520
2018-10-12,464.6,468.75,463.65,465.1,2783170
2018-10-15,468.25,469.25,460.2,462.05,1806370
2018-10-16,462.5,472.0,462.0,468.7,2713340
2018-10-17,470.15,472.9,466.0,467.85,3921870
2018-10-18,467.3,469.5,462.65,466.6,2028930
2018-10-19,465.1,474.3,464.6,467.0,2750830
2018-10-22,468.95,473.65,463.6,465.3,2575220
2018-10-23,464.0,464.9,450.3,455.0,4363010
2018-10-24,456.0,468.1,455.25,463.5,3134510
2018-10-25,461.95,463.0,453.5,458.4,3094960
2018-10-26,458.4,458.65,448.9,453.3,2886060
2018-10-29,454.05,459.95,453.05,458.5,1752560
2018-10-30,457.9,461.7,443.05,453.7,2312890
2018-10-31,457.0,467.0,456.2,460.45,4348090
2018-11-01,459.8,463.95,455.5,460.0,3202360
2018-11-02,460.55,462.25,456.75,459.6,3222640
2018-11-06,462.1,484.35,461.7,482.45,6370460
2018-11-07,482.75,487.85,478.7,484.1,3112250
2018-11-08,484.0,485.0,473.4,475.0,3523150
