index,Date,open,high,low,close,volume,Dividends,Stock Splits
0,2017-01-03,60.35455110156881,60.62001680882164,59.830247721907014,60.32136535644531,10360600,0.0,0.0
1,2017-01-04,60.47401756982526,60.49392699313068,59.564781752548924,59.65769577026367,9434200,0.0,0.0
2,2017-01-05,59.856789448868795,59.92979403025062,58.695359371254895,58.76836395263672,14443200,0.0,0.0
3,2017-01-06,58.92766903317764,59.05376882895684,58.28390385347286,58.73520278930664,16518100,0.0,0.0
4,2017-01-09,58.549379281846335,58.549379281846335,57.44104381550515,57.76624298095703,13762300,0.0,0.0
5,2017-01-10,57.85248423916193,57.94539823082488,57.016258314195404,57.0295295715332,13283100,0.0,0.0
6,2017-01-11,57.0096301156506,57.706485174890894,56.9830825329033,57.61357116699219,11183700,0.0,0.0
7,2017-01-12,57.918872313079106,57.991876914321054,57.122464925720216,57.30165481567383,10407000,0.0,0.0
8,2017-01-13,57.25521245804117,57.52732150749173,57.18884600267928,57.30830764770508,8415600,0.0,0.0
9,2017-01-17,57.46091917216007,57.99849370738384,57.24190544913082,57.97858428955078,13237300,0.0,0.0
10,2017-01-18,57.77949077559639,58.011780862853435,57.109183287339754,57.26182556152344,11831700,0.0,0.0
11,2017-01-19,57.056093948007764,57.142369804686616,56.14021995563311,56.23313903808594,16382900,0.0,0.0
12,2017-01-20,56.70435825776598,57.04946681463306,56.44552557425686,57.00300979614258,18739700,0.0,0.0
13,2017-01-23,56.86361461220698,56.996347447733996,56.246397306483466,56.39240646362305,11433900,0.0,0.0
14,2017-01-24,56.399073049390125,56.724272204733865,56.299520840854306,56.47207260131836,11858100,0.0,0.0
15,2017-01-25,56.637977600097656,56.996362426323515,56.578249327443906,56.637977600097656,9578500,0.0,0.0
16,2017-01-26,56.870253493265984,56.963167491998256,56.491959337446545,56.81052017211914,8779400,0.0,0.0
17,2017-01-27,56.611445287118215,56.91009683112022,56.43888847371677,56.750816345214844,10947900,0.0,0.0
18,2017-01-30,56.691079809556285,56.71098923624516,55.86812477132737,56.31942367553711,12789200,0.0,0.0
19,2017-01-31,56.4388782126243,56.45878763681334,55.171257529288035,55.67565155029297,19128100,0.0,0.0
20,2017-02-01,55.748655519324984,55.85484586504838,54.7796914000536,55.045162200927734,15111800,0.0,0.0
21,2017-02-02,55.22434079322352,55.436716377830365,54.78631836522398,55.38362121582031,12200100,0.0,0.0
22,2017-02-03,55.54954464484879,55.562820968226,55.01860816873728,55.443359375,12746300,0.0,0.0
23,2017-02-06,55.45000359594293,55.516370029779786,55.0385236046595,55.29071807861328,9938200,0.0,0.0
24,2017-02-07,55.23762961884895,55.496462262944746,54.719959267222855,54.932334899902344,11705200,0.0,0.0
25,2017-02-08,54.912240228650646,54.9993101096349,54.36305104213031,54.570674896240234,14006300,0.75,0.0
26,2017-02-09,54.57069137169785,54.95244488356202,54.57069137169785,54.81179428100586,9603000,0.0,0.0
27,2017-02-10,55.093074739021645,55.4346400776059,55.0060048564636,55.26720428466797,8739800,0.0,0.0
28,2017-02-13,55.43463329370176,55.709230413188436,55.15334242232585,55.58867645263672,9071600,0.0,0.0
29,2017-02-14,55.52840010801073,55.655647816053644,54.95911441357725,55.46812057495117,11370500,0.0,0.0
30,2017-02-15,55.347569653023385,55.70923154200677,55.22701569002892,55.695838928222656,11768500,0.0,0.0
31,2017-02-16,55.669054617299345,55.86997450421751,55.03279553438783,55.11986541748047,10615000,0.0,0.0
32,2017-02-17,54.9792091260345,55.04618752443074,54.54388019486526,54.75819778442383,15646000,0.0,0.0
33,2017-02-21,54.99931907902981,55.01941055953818,54.45012980294663,54.84527587890625,16419600,0.0,0.0
34,2017-02-22,54.68453219598478,54.71801628946652,54.1621333281076,54.20231628417969,12917400,0.0,0.0
35,2017-02-23,54.530494649797475,55.0662912982226,54.269295188867495,54.771602630615234,13847000,0.0,0.0
36,2017-02-24,54.65104052964678,54.78499222674155,54.088458731053066,54.30277633666992,11338700,0.0,0.0
37,2017-02-27,54.336273150293984,54.72472549821429,54.12195549449933,54.610870361328125,13465900,0.0,0.0
38,2017-02-28,54.60416551722283,54.912246794328084,54.28269162360665,54.46352005004883,16834200,0.0,0.0
39,2017-03-01,54.71801667615231,55.80970134801891,54.71801667615231,55.60207748413086,17482100,0.0,0.0
40,2017-03-02,55.454732625528415,56.42585810993618,55.448033763573086,55.78960418701172,14170300,0.0,0.0
41,2017-03-03,55.789607174148294,55.9905270559554,55.093073675800476,55.227020263671875,12190400,0.0,0.0
42,2017-03-06,55.21363498427302,55.5217162650957,55.13996281823548,55.47483444213867,9617200,0.0,0.0
43,2017-03-07,55.66235541306363,55.78290938836833,55.012703718906884,55.26720428466797,12711500,0.0,0.0
44,2017-03-08,55.15334787084456,55.17343934796561,54.25589449453922,54.269287109375,16817700,0.0,0.0
45,2017-03-09,54.00808712701175,54.73141095427384,53.78707066150365,54.69792175292969,14721800,0.0,0.0
46,2017-03-10,55.21362961458491,55.23372109250747,54.3563591583225,54.65774154663086,11355200,0.0,0.0
47,2017-03-13,54.584060102988396,54.87874868835257,54.282677765945294,54.530479431152344,9571400,0.0,0.0
48,2017-03-14,54.249195352729274,54.40323852608822,53.87414082244281,54.242496490478516,11335700,0.0,0.0
49,2017-03-15,54.48360740300729,54.95912445402738,54.28268751214903,54.918941497802734,11970300,0.0,0.0
50,2017-03-16,54.93903378607409,55.05288890354625,54.69792582570066,54.965824127197266,9923800,0.0,0.0
51,2017-03-17,54.93903297591506,55.093076157667916,54.79838751939377,54.918941497802734,18834100,0.0,0.0
52,2017-03-20,54.73141422244101,54.94573183853084,54.54388694707929,54.918941497802734,7700300,0.0,0.0
53,2017-03-21,55.02610452861776,55.1533522637645,54.65104485679081,54.80508804321289,13387700,0.0,0.0
54,2017-03-22,54.89214436174753,54.9792091260345,54.53718133307876,54.75819778442383,11168400,0.0,0.0
55,2017-03-23,54.67112925783662,55.066280357228976,54.55727415333194,54.825172424316406,8928000,0.0,0.0
56,2017-03-24,54.939031676542385,54.939031676542385,54.34965952366846,54.40324020385742,9128500,0.0,0.0
57,2017-03-27,54.128640038436636,54.537183760109784,54.1085485619174,54.416629791259766,8481200,0.0,0.0
58,2017-03-28,54.463529981128644,54.93234829052804,54.22242196208429,54.81179428100586,11028600,0.0,0.0
59,2017-03-29,54.71132732711643,55.10647338905084,54.617563681581636,54.93233871459961,8495500,0.0,0.0
60,2017-03-30,54.93902537268735,56.17135532695814,54.87875094669199,56.0574951171875,44704900,0.0,0.0
61,2017-03-31,55.76280359720919,55.79628768136093,54.82516237548975,54.92562484741211,21750400,0.0,0.0
62,2017-04-03,54.93233492335953,55.12656106420119,54.48360820645039,54.965824127197266,11438700,0.0,0.0
63,2017-04-04,54.985910723087365,55.20022832330712,54.47021075402984,55.166744232177734,9270900,0.0,0.0
64,2017-04-05,55.48822433214081,55.957047648408754,55.233723749985224,55.27390670776367,13809100,0.0,0.0
65,2017-04-06,55.421248033255004,55.72932928226563,55.22702189827842,55.59538269042969,9554900,0.0,0.0
66,2017-04-07,55.749433379206,55.829804418340885,55.37437874938208,55.42795944213867,8909600,0.0,0.0
67,2017-04-10,55.66905697938836,55.90346607893988,55.53510527269096,55.675750732421875,8885300,0.0,0.0
68,2017-04-11,55.64226747158742,55.702541908202825,55.20023449746693,55.48152542114258,8576500,0.0,0.0
69,2017-04-12,55.494927532751866,55.82310030297625,55.38776615731947,55.568599700927734,9516100,0.0,0.0
70,2017-04-13,55.401153589243926,55.407852451397545,54.63094795308714,54.71131896972656,8667900,0.0,0.0
71,2017-04-17,54.81847794540822,54.898848966050025,54.543885900251496,54.63764953613281,9577200,0.0,0.0
72,2017-04-18,54.463528037924256,54.798399706900604,54.269301856749635,54.28269958496094,8821400,0.0,0.0
73,2017-04-19,54.36305651924326,54.590771873527466,53.780383181876786,53.907630920410156,10764400,0.0,0.0
74,2017-04-20,54.21569802013832,54.7447956444316,54.048262257124016,54.25588607788086,11649100,0.0,0.0
75,2017-04-21,54.20232096279036,54.24920278549952,53.89423968359652,54.04158401489258,9816700,0.0,0.0
76,2017-04-24,54.436734926592756,54.51710596257034,54.12195475618375,54.322879791259766,8729700,0.0,0.0
